t_f,rho_f
-14.3587823967258,-0.912016393076181
-15.889040051167,-1.01050748156103
-15.5518712198577,-0.989176254360563
-14.6440532785991,-0.939139596936697
-17.0751586303826,-1.08474510096347
-14.6174542973196,-0.926298579243991
-14.8402849966913,-0.944400005143357
-15.9052840449959,-1.01386846168179
-14.2988291968115,-0.908139854194266
-16.2862789425845,-1.0374484589884
-15.9164337325532,-1.01434453197733
-15.9204569941669,-1.02344527862507
-16.1499058626143,-1.02873755941336
-15.9574604431768,-1.01796017690357
-14.6038419299002,-0.919880596611418
-15.4216996039477,-0.981436247079415
-15.5931275066608,-0.99417846182613
-15.8784353285609,-1.01668561638592
-13.6869088812612,-0.871556765941901
-14.4583038790758,-0.918976666977455
-16.9935458707102,-1.07835215121786
-16.8086123375597,-1.06942555867496
-16.7658453231568,-1.06757775376906
-14.3329302768058,-0.893891589879567
-17.7664640944639,-1.12428983033027
-17.671752650105,-1.12065169927601
-14.1301676453185,-0.896063225529676
-17.3080859418897,-1.09899592728831
-15.8259016068884,-1.00268360931024
-15.2599773728511,-0.969362955394515
-15.9328547599084,-1.01584104790919
-15.4706088816654,-0.996077492106777
-17.1430364576304,-1.09122070163502
-15.3341341942427,-0.977590231969017
-15.6799024921935,-1.0004819829253
-16.5251464224982,-1.05184981591283
-16.9848440294183,-1.07893684697363
-17.3491197946308,-1.09849909671477
-14.6547295847009,-0.942102715557276
-17.3873795669387,-1.10279574394722
-15.1926160228445,-0.968671559417417
-16.6356410429366,-1.05864940540357
-15.7253148623999,-1.0005948783005
-17.8336627531857,-1.12895352963874
-16.9666674658245,-1.07368246830124
-15.8906657024939,-1.0122840279769
-16.5073196150655,-1.05665435428871
-15.858490935288,-1.01696319889334
-16.1858132030115,-1.02929990050779
-17.3766466111007,-1.09769008723088
-14.2100502324351,-0.904525668286916
-14.9236097223219,-0.949037614679597
-15.7150925385869,-0.986747363282294
-15.4869359344199,-0.987145034154564
-16.3797611089256,-1.0460233135914
-16.7460395842923,-1.06575682725832
-16.9766380867787,-1.07900458766524
-16.4995643555429,-1.04498355972436
-16.7225594864937,-1.06445277696923
-14.5181675241249,-0.923371894052245
-15.3870200239875,-0.981629315269266
-14.2324238174718,-0.904956689620628
-15.6238868030081,-0.996170362814035
-16.108384845859,-1.02244247791354
-14.2842308522148,-0.909430218544055
-16.0768029415075,-1.02529857813013
-15.4269945152943,-0.983791746919211
-15.426168749627,-0.983329050748746
-15.148656094263,-0.965668420032494
-15.7222573478915,-1.00292499179933
-17.3023018036548,-1.09777882631855
-16.234551743502,-1.02973766829441
-16.4956627469587,-1.04775416377188
-17.3414595315463,-1.10008922791664
-14.838003285851,-0.945245102236223
-17.8713376227813,-1.13003552744061
-14.4116973513483,-0.918646297798341
-16.2389313352416,-1.03543416816174
-16.1279780052499,-1.02587915040944
-15.0160644460821,-0.959354332826422
-14.927293347351,-0.94776425402017
-16.66589105454,-1.05956214300185
-15.5038440859327,-0.987847402848681
-16.4202239296959,-1.04549669466908
-17.1652732537625,-1.09029048818641
-15.459838691147,-0.986604238825978
-15.4182054789074,-0.980775579985055
-14.8466342146882,-0.945064881292244
-16.531645175664,-1.05343291109762
-15.1450497621757,-0.971124359984791
-15.0236489046998,-0.95697537120939
-15.8209843490342,-1.00315343019421
-15.4693227039195,-0.993349604960976
-15.5061562350846,-0.983111320207733
-15.9451365648055,-1.01843172707307
-15.9786416824104,-1.01904138878768
-14.301028409843,-0.907311463781157
-16.4364478905867,-1.04706106302051
-15.5277395579761,-0.982194913009153
-16.3919695876984,-1.03781152069166
-14.528426753647,-0.924367845874069
-15.2399802429332,-0.970443669006887
-17.5877716422119,-1.11422971968632
-16.1716429546238,-1.02943746472517
-16.5384625786266,-1.05256029327624
-18.288146722332,-1.15455741044174
-15.1661264227418,-0.97132151004833
-14.5984435442536,-0.932458204553073
-14.7567365996078,-0.939348300730678
-16.1517437977094,-1.03462014019581
-14.4521630184808,-0.920672825004526
-16.8052262131955,-1.06868630601131
-16.647531050019,-1.06295960291063
-15.4689344447099,-0.987077063253118
-15.317815819539,-0.976015052981358
-16.5627095949072,-1.05341177286278
-16.492469069854,-1.05483670878803
-15.4482860681458,-0.985592847204129
-16.0368032669741,-1.02145097051165
-17.7589863949751,-1.11496929761377
-14.806364617212,-0.937188439236954
-17.354383583531,-1.10076364008382
-16.1135854774583,-1.02426954879527
-15.1282047242637,-0.964274878597897
-16.3454503605002,-1.03938780221012
-17.1980376783903,-1.0938171385794
-16.2469770856763,-1.03536301057276
-15.7560393392703,-1.00511335947556
-16.1701470229583,-1.03351709813897
-15.5117151904414,-0.993307245167156
-15.5037733659584,-0.999769330350976
-15.3710526298361,-0.984180524419214
-14.6949037370874,-0.940294194992807
-17.6414748722146,-1.12541904908621
-16.0768631514679,-1.02557405738503
-18.203971815616,-1.15166466892564
-15.8883467341769,-1.01137654495796
-16.5504831424685,-1.05283827180718
-14.612666009228,-0.929270334933929
-16.3090474011881,-1.03890966426602
-16.1089211960075,-1.01865765564116
-16.9407128437242,-1.07724428098081
-14.4250075628864,-0.91868580146612
-15.3715893523954,-0.981309560399437
-16.680070270492,-1.05777025951185
-15.3699779508169,-0.980709142300226
-15.25763301833,-0.973079749623953
-16.5323699080261,-1.05363374352334
-16.0745890093655,-1.02761332860196
-14.8125087001021,-0.945263278401964
-14.646537624216,-0.924831478278979
-16.8257734284085,-1.06552067705125
-14.9044202783416,-0.949073346695082
-15.3715970188615,-0.979494469665354
-16.0828069293456,-1.02435416209423
-14.9519420771456,-0.951963415338047
-15.2627026417082,-0.973607303586012
-13.5453217574623,-0.853299251239121
-15.6469318253427,-0.995749387208386
-16.3664891081854,-1.04481270465501
-14.3358816639237,-0.904127951400251
-15.2484727178842,-0.972286143376553
-14.8683375940959,-0.945673125967675
-14.0870731021207,-0.893048011618559
-16.3736199328951,-1.04046871489646
-17.7609527347284,-1.12608084768888
-16.8944206950185,-1.07409695264216
-16.6384357456225,-1.0585208177622
-17.4728820733751,-1.10808997425596
-15.2880312090549,-0.977466999964847
-17.2924924320603,-1.09754412127635
-15.0887729818049,-0.964221104492811
-14.860219537472,-0.944993963327867
-14.2947531398657,-0.919667932333632
-15.4061970936522,-0.984735796713602
-15.5221368936719,-0.990399778815484
-15.7303220767201,-1.00282107910148
-16.1864933870235,-1.03169547741346
-15.3697123390588,-0.978321190070803
-14.8467688477508,-0.945213522459061
-15.5237143603229,-0.994165351599443
-15.3744646731667,-0.967837847970895
-15.545771767115,-0.991267894582449
-14.9033282329221,-0.948317478196736
-15.6003896981788,-0.994034857136515
-16.2463057345328,-1.03571957083293
-15.7051392293026,-1.00207266928041
-17.2813574409683,-1.08961725551727
-15.3555905397023,-0.978155185934137
-16.2634720407241,-1.03651328361744
-14.7377102197284,-0.93931948494918
-16.2654687378734,-1.03578705337986
-16.3037158572373,-1.03861358428074
-15.8699601234141,-1.01277570221755
-16.1646410078532,-1.02930349885614
-15.4988301534448,-0.985390991089733
-16.8053116926819,-1.06924219226077
-14.4228197452306,-0.921652479811159
-17.4176695101938,-1.10459294232698
-15.969263370673,-1.01656959123334
-16.2246409963684,-1.03701681459371
-15.6790199325404,-1.00267569272631
-16.683904656282,-1.06206907469347
-15.3757130824856,-0.980610840036231
